"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-13 ~ 2026-06-12"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 강원특별자치도"
"시군구 : 춘천시"
"읍면동 : 효자동"
"면적 : 전체"
"금액선택 : 30 ~ 1000 만원"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","강원특별자치도 춘천시 효자동","1**","8m미만","33.00","월세","202606","06","200","30","2006","백령로23번길","202606~202706","신규","-","","","단독다가구"
"2","강원특별자치도 춘천시 효자동","1**","8m미만","23.00","월세","202606","03","300","38","1996","백령로23번길","202607~202707","신규","-","","","단독다가구"
"3","강원특별자치도 춘천시 효자동","6**","8m미만","15.81","월세","202606","03","500","35","","두하길","202606~202806","신규","-","","","단독다가구"
"4","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202606","02","150","33","1996","백령로25번길","202606~202612","신규","-","","","단독다가구"
"5","강원특별자치도 춘천시 효자동","7**","8m미만","55.00","월세","202606","02","300","60","1997","백령로119번길","202608~202708","신규","-","","","단독다가구"
"6","강원특별자치도 춘천시 효자동","1**","12m미만","45.00","월세","202606","01","500","58","2015","둥지길","202606~202705","신규","-","","","단독다가구"
"7","강원특별자치도 춘천시 효자동","1**","8m미만","25.00","월세","202605","29","300","40","2016","청운길","202608~202708","신규","-","","","단독다가구"
"8","강원특별자치도 춘천시 효자동","6**","8m미만","40.00","월세","202605","28","500","46","1993","효자로150번길","202606~202806","신규","-","","","단독다가구"
"9","강원특별자치도 춘천시 효자동","6**","12m미만","30.00","월세","202605","27","300","34","2004","춘천로204번길","202606~202706","신규","-","","","단독다가구"
"10","강원특별자치도 춘천시 효자동","1**","8m미만","15.86","월세","202605","27","300","35","1975","효자로92번길","202605~202805","신규","-","","","단독다가구"
